18/08/2020	11:00
######	######	######	######
Input parameter	Value		
Start phase (Rad)	0.0000000000
Phase step (Rad)	1.0000000000
End phase (Rad)	50000.0000000000
Pulse 1 start time after trigger (ms)	0.1200000000
Pulse 2 start time after trigger (ms)	0.7200000000
Loop averages	1.0000000000
Sweep rate (Hz/s)	0.0000000000
k_eff  (m^-1)	0.0000000000
Pi pulse (us)	4.5000000000
Pulse separation  (ms)	3.0000000000
######	######	######	######	######
Laser phase (deg)	Average1	Standard Deviation	Average Population	Best fit
12582.168	0.309	NaN	0.309	0.337
12578.320	0.296	NaN	0.296	0.327
12576.400	0.358	NaN	0.358	0.336
12573.772	0.299	NaN	0.299	0.330
12578.683	0.296	NaN	0.296	0.326
12581.216	0.376	NaN	0.376	0.336
12582.188	0.313	NaN	0.313	0.337
12580.294	0.371	NaN	0.371	0.331
12572.171	0.307	NaN	0.307	0.326
12580.311	0.376	NaN	0.376	0.331
12585.367	0.374	NaN	0.374	0.326
12579.557	0.358	NaN	0.358	0.328
12575.614	0.372	NaN	0.372	0.337
12589.516	0.323	NaN	0.323	0.333
12582.603	0.306	NaN	0.306	0.336
12576.876	0.347	NaN	0.347	0.333
12578.563	0.295	NaN	0.295	0.326
12577.060	0.318	NaN	0.318	0.332
12572.041	0.309	NaN	0.309	0.327
12576.310	0.355	NaN	0.355	0.336
12583.958	0.299	NaN	0.299	0.329
12583.496	0.293	NaN	0.293	0.332
12580.547	0.386	NaN	0.386	0.333
12577.919	0.292	NaN	0.292	0.328
12578.727	0.294	NaN	0.294	0.326
12581.305	0.365	NaN	0.365	0.336
12574.081	0.316	NaN	0.316	0.332
12581.798	0.350	NaN	0.350	0.337
12577.956	0.290	NaN	0.290	0.328
12575.659	0.375	NaN	0.375	0.337
12579.948	0.374	NaN	0.374	0.329
12577.338	0.320	NaN	0.320	0.331
12576.392	0.367	NaN	0.367	0.336
12575.222	0.370	NaN	0.370	0.337
12581.885	0.334	NaN	0.334	0.337
12578.428	0.296	NaN	0.296	0.326
12586.662	0.364	NaN	0.364	0.332
12579.637	0.349	NaN	0.349	0.328
12578.058	0.288	NaN	0.288	0.327
